S_droplet_delta
  phi    l |        S_delta        S_theta          S_180  err_S_dt err_S_dpi | min_delta min_theta   min_180err_min_dterr_min_dpi | max_delta max_theta   max_180err_max_dterr_min_dpi
–––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––
  0.0  0.1 |            inf            inf            inf       nan       nan |     0.000     0.000     0.000     0.000     0.000 |    52.360    52.360    52.360     0.000     0.000
  0.0  0.6 |            inf            inf            inf       nan       nan |     0.000     0.000     0.000     0.000     0.000 |     1.454     1.454     1.454     0.000     0.000
  0.0  1.1 |            inf            inf            inf       nan       nan |     0.000     0.000     0.000     0.000     0.000 |     0.433     0.433     0.433     0.000     0.000
  0.0  1.6 |            inf            inf            inf       nan       nan |     0.000     0.000     0.000     0.000     0.000 |     0.205     0.205     0.205     0.000     0.000
  0.0  2.1 |            inf            inf            inf       nan       nan |     0.000     0.000     0.000     0.000     0.000 |     0.119     0.119     0.119     0.000     0.000
  0.0  2.6 |            inf            inf            inf       nan       nan |     0.000     0.000     0.000     0.000     0.000 |     0.077     0.077     0.077     0.000     0.000
  0.0  3.1 |            inf            inf            inf       nan       nan |     0.000     0.000     0.000     0.000     0.000 |     0.054     0.054     0.054     0.000     0.000
  0.0  3.6 |            inf            inf            inf       nan       nan |     0.000     0.000     0.000     0.000     0.000 |     0.040     0.040     0.040     0.000     0.000
  0.0  4.1 |            inf            inf            inf       nan       nan |     0.000     0.000     0.000     0.000     0.000 |     0.031     0.031     0.031     0.000     0.000
  0.0  4.6 |            inf            inf            inf       nan       nan |     0.000     0.000     0.000     0.000     0.000 |     0.025     0.025     0.025     0.000     0.000
  0.2  0.1 |        0.07677        0.07677        0.07677     0.000     0.000 |     0.000     0.000     0.000     0.000     0.000 |    52.360    52.360    52.360     0.000     0.000
  0.2  0.6 |        0.83696        0.83696        0.83696     0.000     0.000 |     0.000     0.000     0.000     0.000     0.000 |     1.454     1.454     1.454     0.000     0.000
  0.2  1.1 |        1.87799        1.87799        1.87799     0.000     0.000 |     0.000     0.000     0.000     0.000     0.000 |     0.433     0.433     0.433     0.000     0.000
  0.2  1.6 |        3.09502        3.09502        3.09502     0.000     0.000 |     0.000     0.000     0.000     0.000     0.000 |     0.205     0.205     0.205     0.000     0.000
  0.2  2.1 |            inf            inf            inf       nan       nan |     0.000     0.000     0.000     0.000     0.000 |     0.119     0.119     0.119     0.000     0.000
  0.2  2.6 |            inf            inf            inf       nan       nan |     0.000     0.000     0.000     0.000     0.000 |     0.077     0.077     0.077     0.000     0.000
  0.2  3.1 |            inf            inf            inf       nan       nan |     0.000     0.000     0.000     0.000     0.000 |     0.054     0.054     0.054     0.000     0.000
  0.2  3.6 |            inf            inf            inf       nan       nan |     0.000     0.000     0.000     0.000     0.000 |     0.040     0.040     0.040     0.000     0.000
  0.2  4.1 |            inf            inf            inf       nan       nan |     0.000     0.000     0.000     0.000     0.000 |     0.031     0.031     0.031     0.000     0.000
  0.2  4.6 |            inf            inf            inf       nan       nan |     0.000     0.000     0.000     0.000     0.000 |     0.025     0.025     0.025     0.000     0.000
  0.4  0.1 |        0.12186        0.12186        0.12186     0.000     0.000 |     0.000     0.000     0.000     0.000     0.000 |    52.360    52.360    52.360     0.000     0.000
  0.4  0.6 |        1.32859        1.32859        1.32859     0.000     0.000 |     0.000     0.000     0.000     0.000     0.000 |     1.454     1.454     1.454     0.000     0.000
  0.4  1.1 |        2.98113        2.98113        2.98113     0.000     0.000 |     0.000     0.000     0.000     0.000     0.000 |     0.433     0.433     0.433     0.000     0.000
  0.4  1.6 |            inf            inf            inf       nan       nan |     0.000     0.000     0.000     0.000     0.000 |     0.205     0.205     0.205     0.000     0.000
  0.4  2.1 |            inf            inf            inf       nan       nan |     0.000     0.000     0.000     0.000     0.000 |     0.119     0.119     0.119     0.000     0.000
  0.4  2.6 |            inf            inf            inf       nan       nan |     0.000     0.000     0.000     0.000     0.000 |     0.077     0.077     0.077     0.000     0.000
  0.4  3.1 |            inf            inf            inf       nan       nan |     0.000     0.000     0.000     0.000     0.000 |     0.054     0.054     0.054     0.000     0.000
  0.4  3.6 |            inf            inf            inf       nan       nan |     0.000     0.000     0.000     0.000     0.000 |     0.040     0.040     0.040     0.000     0.000
  0.4  4.1 |            inf            inf            inf       nan       nan |     0.000     0.000     0.000     0.000     0.000 |     0.031     0.031     0.031     0.000     0.000
  0.4  4.6 |            inf            inf            inf       nan       nan |     0.000     0.000     0.000     0.000     0.000 |     0.025     0.025     0.025     0.000     0.000
  0.6  0.1 |        0.15968        0.15968        0.15968     0.000     0.000 |     0.000     0.000     0.000     0.000     0.000 |    52.360    52.360    52.360     0.000     0.000
  0.6  0.6 |        1.74095        1.74095        1.74095     0.000     0.000 |     0.000     0.000     0.000     0.000     0.000 |     1.454     1.454     1.454     0.000     0.000
  0.6  1.1 |            inf            inf            inf       nan       nan |     0.000     0.000     0.000     0.000     0.000 |     0.433     0.433     0.433     0.000     0.000
  0.6  1.6 |            inf            inf            inf       nan       nan |     0.000     0.000     0.000     0.000     0.000 |     0.205     0.205     0.205     0.000     0.000
  0.6  2.1 |            inf            inf            inf       nan       nan |     0.000     0.000     0.000     0.000     0.000 |     0.119     0.119     0.119     0.000     0.000
  0.6  2.6 |            inf            inf            inf       nan       nan |     0.000     0.000     0.000     0.000     0.000 |     0.077     0.077     0.077     0.000     0.000
  0.6  3.1 |            inf            inf            inf       nan       nan |     0.000     0.000     0.000     0.000     0.000 |     0.054     0.054     0.054     0.000     0.000
  0.6  3.6 |            inf            inf            inf       nan       nan |     0.000     0.000     0.000     0.000     0.000 |     0.040     0.040     0.040     0.000     0.000
  0.6  4.1 |            inf            inf            inf       nan       nan |     0.000     0.000     0.000     0.000     0.000 |     0.031     0.031     0.031     0.000     0.000
  0.6  4.6 |            inf            inf            inf       nan       nan |     0.000     0.000     0.000     0.000     0.000 |     0.025     0.025     0.025     0.000     0.000
  0.8  0.1 |        0.19344        0.19344        0.19344     0.000     0.000 |     0.000     0.000     0.000     0.000     0.000 |    52.360    52.360    52.360     0.000     0.000
  0.8  0.6 |        2.10901        2.10901        2.10901     0.000     0.000 |     0.000     0.000     0.000     0.000     0.000 |     1.454     1.454     1.454     0.000     0.000
  0.8  1.1 |            inf            inf            inf       nan       nan |     0.000     0.000     0.000     0.000     0.000 |     0.433     0.433     0.433     0.000     0.000
  0.8  1.6 |            inf            inf            inf       nan       nan |     0.000     0.000     0.000     0.000     0.000 |     0.205     0.205     0.205     0.000     0.000
  0.8  2.1 |            inf            inf            inf       nan       nan |     0.000     0.000     0.000     0.000     0.000 |     0.119     0.119     0.119     0.000     0.000
  0.8  2.6 |            inf            inf            inf       nan       nan |     0.000     0.000     0.000     0.000     0.000 |     0.077     0.077     0.077     0.000     0.000
  0.8  3.1 |            inf            inf            inf       nan       nan |     0.000     0.000     0.000     0.000     0.000 |     0.054     0.054     0.054     0.000     0.000
  0.8  3.6 |            inf            inf            inf       nan       nan |     0.000     0.000     0.000     0.000     0.000 |     0.040     0.040     0.040     0.000     0.000
  0.8  4.1 |            inf            inf            inf       nan       nan |     0.000     0.000     0.000     0.000     0.000 |     0.031     0.031     0.031     0.000     0.000
  0.8  4.6 |            inf            inf            inf       nan       nan |     0.000     0.000     0.000     0.000     0.000 |     0.025     0.025     0.025     0.000     0.000
  1.0  0.1 |        0.22447        0.22447        0.22447     0.000     0.000 |     0.000     0.000     0.000     0.000     0.000 |    52.360    52.360    52.360     0.000     0.000
  1.0  0.6 |        2.44729        2.44729        2.44729     0.000     0.000 |     0.000     0.000     0.000     0.000     0.000 |     1.454     1.454     1.454     0.000     0.000
  1.0  1.1 |            inf            inf            inf       nan       nan |     0.000     0.000     0.000     0.000     0.000 |     0.433     0.433     0.433     0.000     0.000
  1.0  1.6 |            inf            inf            inf       nan       nan |     0.000     0.000     0.000     0.000     0.000 |     0.205     0.205     0.205     0.000     0.000
  1.0  2.1 |            inf            inf            inf       nan       nan |     0.000     0.000     0.000     0.000     0.000 |     0.119     0.119     0.119     0.000     0.000
  1.0  2.6 |            inf            inf            inf       nan       nan |     0.000     0.000     0.000     0.000     0.000 |     0.077     0.077     0.077     0.000     0.000
  1.0  3.1 |            inf            inf            inf       nan       nan |     0.000     0.000     0.000     0.000     0.000 |     0.054     0.054     0.054     0.000     0.000
  1.0  3.6 |            inf            inf            inf       nan       nan |     0.000     0.000     0.000     0.000     0.000 |     0.040     0.040     0.040     0.000     0.000
  1.0  4.1 |            inf            inf            inf       nan       nan |     0.000     0.000     0.000     0.000     0.000 |     0.031     0.031     0.031     0.000     0.000
  1.0  4.6 |            inf            inf            inf       nan       nan |     0.000     0.000     0.000     0.000     0.000 |     0.025     0.025     0.025     0.000     0.000

S_doughnut_delta
  phi    l |        S_delta        S_theta          S_180  err_S_dt err_S_dpi | min_delta min_theta   min_180err_min_dterr_min_dpi | max_delta max_theta   max_180err_max_dterr_min_dpi
–––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––
  0.0  0.1 |            inf            inf            inf       nan       nan |    52.360    52.360    52.360     0.000     0.000 |     4.944     4.944     4.944     0.000     0.000
  0.0  0.6 |            inf            inf            inf       nan       nan |     1.454     1.454     1.454     0.000     0.000 |     0.433     0.433     0.433     0.000     0.000
  0.0  1.1 |            inf            inf            inf       nan       nan |     0.433     0.433     0.433     0.000     0.000 |     0.541     0.541     0.541     0.000     0.000
  0.0  1.6 |            inf            inf            inf       nan       nan |     0.205     0.205     0.205     0.000     0.000 |     0.604     0.604     0.604     0.000     0.000
  0.0  2.1 |            inf            inf            inf       nan       nan |     0.119     0.119     0.119     0.000     0.000 |     0.642     0.642     0.642     0.000     0.000
  0.0  2.6 |            inf            inf            inf       nan       nan |     0.077     0.077     0.077     0.000     0.000 |     0.667     0.667     0.667     0.000     0.000
  0.0  3.1 |            inf            inf            inf       nan       nan |     0.054     0.054     0.054     0.000     0.000 |     0.684     0.684     0.684     0.000     0.000
  0.0  3.6 |            inf            inf            inf       nan       nan |     0.040     0.040     0.040     0.000     0.000 |     0.698     0.698     0.698     0.000     0.000
  0.0  4.1 |            inf            inf            inf       nan       nan |     0.031     0.031     0.031     0.000     0.000 |     0.708     0.708     0.708     0.000     0.000
  0.0  4.6 |            inf            inf            inf       nan       nan |     0.025     0.025     0.025     0.000     0.000 |     0.716     0.716     0.716     0.000     0.000
  0.2  0.1 |            inf            inf            inf       nan       nan |    52.360    52.360    52.360     0.000     0.000 |     4.944     4.944     4.944     0.000     0.000
  0.2  0.6 |            inf            inf            inf       nan       nan |     1.454     1.454     1.454     0.000     0.000 |     0.433     0.433     0.433     0.000     0.000
  0.2  1.1 |            inf            inf            inf       nan       nan |     0.433     0.433     0.433     0.000     0.000 |     0.541     0.541     0.541     0.000     0.000
  0.2  1.6 |            inf            inf            inf       nan       nan |     0.205     0.205     0.205     0.000     0.000 |     0.604     0.604     0.604     0.000     0.000
  0.2  2.1 |        4.47659        4.47659        4.47659     0.000     0.000 |     0.119     0.119     0.119     0.000     0.000 |     0.642     0.642     0.642     0.000     0.000
  0.2  2.6 |        6.05062        6.05062        6.05062     0.000     0.000 |     0.077     0.077     0.077     0.000     0.000 |     0.667     0.667     0.667     0.000     0.000
  0.2  3.1 |        7.82087        7.82087        7.82087     0.000     0.000 |     0.054     0.054     0.054     0.000     0.000 |     0.684     0.684     0.684     0.000     0.000
  0.2  3.6 |        9.78896        9.78896        9.78896     0.000     0.000 |     0.040     0.040     0.040     0.000     0.000 |     0.698     0.698     0.698     0.000     0.000
  0.2  4.1 |       11.95569       11.95569       11.95569     0.000     0.000 |     0.031     0.031     0.031     0.000     0.000 |     0.708     0.708     0.708     0.000     0.000
  0.2  4.6 |       14.32150       14.32150       14.32150     0.000     0.000 |     0.025     0.025     0.025     0.000     0.000 |     0.716     0.716     0.716     0.000     0.000
  0.4  0.1 |            inf            inf            inf       nan       nan |    52.360    52.360    52.360     0.000     0.000 |     4.944     4.944     4.944     0.000     0.000
  0.4  0.6 |            inf            inf            inf       nan       nan |     1.454     1.454     1.454     0.000     0.000 |     0.433     0.433     0.433     0.000     0.000
  0.4  1.1 |            inf            inf            inf       nan       nan |     0.433     0.433     0.433     0.000     0.000 |     0.541     0.541     0.541     0.000     0.000
  0.4  1.6 |        4.96753        4.96753        4.96753     0.000     0.000 |     0.205     0.205     0.205     0.000     0.000 |     0.604     0.604     0.604     0.000     0.000
  0.4  2.1 |        7.34107        7.34107        7.34107     0.000     0.000 |     0.119     0.119     0.119     0.000     0.000 |     0.642     0.642     0.642     0.000     0.000
  0.4  2.6 |       10.10950       10.10950       10.10950     0.000     0.000 |     0.077     0.077     0.077     0.000     0.000 |     0.667     0.667     0.667     0.000     0.000
  0.4  3.1 |       13.27532       13.27532       13.27532     0.000     0.000 |     0.054     0.054     0.054     0.000     0.000 |     0.684     0.684     0.684     0.000     0.000
  0.4  3.6 |       16.83963       16.83963       16.83963     0.000     0.000 |     0.040     0.040     0.040     0.000     0.000 |     0.698     0.698     0.698     0.000     0.000
  0.4  4.1 |       20.80299       20.80299       20.80299     0.000     0.000 |     0.031     0.031     0.031     0.000     0.000 |     0.708     0.708     0.708     0.000     0.000
  0.4  4.6 |       25.16572       25.16572       25.16572     0.000     0.000 |     0.025     0.025     0.025     0.000     0.000 |     0.716     0.716     0.716     0.000     0.000
  0.6  0.1 |            inf            inf            inf       nan       nan |    52.360    52.360    52.360     0.000     0.000 |     4.944     4.944     4.944     0.000     0.000
  0.6  0.6 |            inf            inf            inf       nan       nan |     1.454     1.454     1.454     0.000     0.000 |     0.433     0.433     0.433     0.000     0.000
  0.6  1.1 |            inf            inf            inf       nan       nan |     0.433     0.433     0.433     0.000     0.000 |     0.541     0.541     0.541     0.000     0.000
  0.6  1.6 |        6.63484        6.63484        6.63484     0.000     0.000 |     0.205     0.205     0.205     0.000     0.000 |     0.604     0.604     0.604     0.000     0.000
  0.6  2.1 |        9.94376        9.94376        9.94376     0.000     0.000 |     0.119     0.119     0.119     0.000     0.000 |     0.642     0.642     0.642     0.000     0.000
  0.6  2.6 |       13.84856       13.84856       13.84856     0.000     0.000 |     0.077     0.077     0.077     0.000     0.000 |     0.667     0.667     0.667     0.000     0.000
  0.6  3.1 |       18.35125       18.35125       18.35125     0.000     0.000 |     0.054     0.054     0.054     0.000     0.000 |     0.684     0.684     0.684     0.000     0.000
  0.6  3.6 |       23.45272       23.45272       23.45272     0.000     0.000 |     0.040     0.040     0.040     0.000     0.000 |     0.698     0.698     0.698     0.000     0.000
  0.6  4.1 |       29.15341       29.15341       29.15341     0.000     0.000 |     0.031     0.031     0.031     0.000     0.000 |     0.708     0.708     0.708     0.000     0.000
  0.6  4.6 |       35.45358       35.45358       35.45358     0.000     0.000 |     0.025     0.025     0.025     0.000     0.000 |     0.716     0.716     0.716     0.000     0.000
  0.8  0.1 |            inf            inf            inf       nan       nan |    52.360    52.360    52.360     0.000     0.000 |     4.944     4.944     4.944     0.000     0.000
  0.8  0.6 |            inf            inf            inf       nan       nan |     1.454     1.454     1.454     0.000     0.000 |     0.433     0.433     0.433     0.000     0.000
  0.8  1.1 |            inf            inf            inf       nan       nan |     0.433     0.433     0.433     0.000     0.000 |     0.541     0.541     0.541     0.000     0.000
  0.8  1.6 |            inf            inf            inf       nan       nan |     0.205     0.205     0.205     0.000     0.000 |     0.604     0.604     0.604     0.000     0.000
  0.8  2.1 |            inf            inf            inf       nan       nan |     0.119     0.119     0.119     0.000     0.000 |     0.642     0.642     0.642     0.000     0.000
  0.8  2.6 |            inf            inf            inf       nan       nan |     0.077     0.077     0.077     0.000     0.000 |     0.667     0.667     0.667     0.000     0.000
  0.8  3.1 |            inf            inf            inf       nan       nan |     0.054     0.054     0.054     0.000     0.000 |     0.684     0.684     0.684     0.000     0.000
  0.8  3.6 |            inf            inf            inf       nan       nan |     0.040     0.040     0.040     0.000     0.000 |     0.698     0.698     0.698     0.000     0.000
  0.8  4.1 |            inf            inf            inf       nan       nan |     0.031     0.031     0.031     0.000     0.000 |     0.708     0.708     0.708     0.000     0.000
  0.8  4.6 |            inf            inf            inf       nan       nan |     0.025     0.025     0.025     0.000     0.000 |     0.716     0.716     0.716     0.000     0.000
  1.0  0.1 |            inf            inf            inf       nan       nan |    52.360    52.360    52.360     0.000     0.000 |     4.944     4.944     4.944     0.000     0.000
  1.0  0.6 |            inf            inf            inf       nan       nan |     1.454     1.454     1.454     0.000     0.000 |     0.433     0.433     0.433     0.000     0.000
  1.0  1.1 |            inf            inf            inf       nan       nan |     0.433     0.433     0.433     0.000     0.000 |     0.541     0.541     0.541     0.000     0.000
  1.0  1.6 |            inf            inf            inf       nan       nan |     0.205     0.205     0.205     0.000     0.000 |     0.604     0.604     0.604     0.000     0.000
  1.0  2.1 |            inf            inf            inf       nan       nan |     0.119     0.119     0.119     0.000     0.000 |     0.642     0.642     0.642     0.000     0.000
  1.0  2.6 |            inf            inf            inf       nan       nan |     0.077     0.077     0.077     0.000     0.000 |     0.667     0.667     0.667     0.000     0.000
  1.0  3.1 |            inf            inf            inf       nan       nan |     0.054     0.054     0.054     0.000     0.000 |     0.684     0.684     0.684     0.000     0.000
  1.0  3.6 |            inf            inf            inf       nan       nan |     0.040     0.040     0.040     0.000     0.000 |     0.698     0.698     0.698     0.000     0.000
  1.0  4.1 |            inf            inf            inf       nan       nan |     0.031     0.031     0.031     0.000     0.000 |     0.708     0.708     0.708     0.000     0.000
  1.0  4.6 |            inf            inf            inf       nan       nan |     0.025     0.025     0.025     0.000     0.000 |     0.716     0.716     0.716     0.000     0.000

S_worm_delta
  phi    l |        S_delta        S_theta          S_180  err_S_dt err_S_dpi | min_delta min_theta   min_180err_min_dterr_min_dpi | max_delta max_theta   max_180err_max_dterr_min_dpi
–––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––
  0.0  0.1 |            inf            inf            inf       nan       nan |     0.000     0.000     0.000     0.000     0.000 |     7.854     7.854     7.854     0.000     0.000
  0.0  0.6 |            inf            inf            inf       nan       nan |     0.000     0.000     0.000     0.000     0.000 |     1.309     1.309     1.309     0.000     0.000
  0.0  1.1 |            inf            inf            inf       nan       nan |     0.000     0.000     0.000     0.000     0.000 |     0.714     0.714     0.714     0.000     0.000
  0.0  1.6 |            inf            inf            inf       nan       nan |     0.000     0.000     0.000     0.000     0.000 |     0.491     0.491     0.491     0.000     0.000
  0.0  2.1 |            inf            inf            inf       nan       nan |     0.000     0.000     0.000     0.000     0.000 |     0.374     0.374     0.374     0.000     0.000
  0.0  2.6 |            inf            inf            inf       nan       nan |     0.000     0.000     0.000     0.000     0.000 |     0.302     0.302     0.302     0.000     0.000
  0.0  3.1 |            inf            inf            inf       nan       nan |     0.000     0.000     0.000     0.000     0.000 |     0.253     0.253     0.253     0.000     0.000
  0.0  3.6 |            inf            inf            inf       nan       nan |     0.000     0.000     0.000     0.000     0.000 |     0.218     0.218     0.218     0.000     0.000
  0.0  4.1 |            inf            inf            inf       nan       nan |     0.000     0.000     0.000     0.000     0.000 |     0.192     0.192     0.192     0.000     0.000
  0.0  4.6 |            inf            inf            inf       nan       nan |     0.000     0.000     0.000     0.000     0.000 |     0.171     0.171     0.171     0.000     0.000
  0.2  0.1 |        0.05013        0.05013        0.05013     0.000     0.000 |     0.000     0.000     0.000     0.000     0.000 |     7.854     7.854     7.854     0.000     0.000
  0.2  0.6 |        0.73680        0.73680        0.73680     0.000     0.000 |     0.000     0.000     0.000     0.000     0.000 |     1.309     1.309     1.309     0.000     0.000
  0.2  1.1 |        1.82898        1.82898        1.82898     0.000     0.000 |     0.000     0.000     0.000     0.000     0.000 |     0.714     0.714     0.714     0.000     0.000
  0.2  1.6 |        3.20848        3.20848        3.20848     0.000     0.000 |     0.000     0.000     0.000     0.000     0.000 |     0.491     0.491     0.491     0.000     0.000
  0.2  2.1 |        4.82446        4.82446        4.82446     0.000     0.000 |     0.000     0.000     0.000     0.000     0.000 |     0.374     0.374     0.374     0.000     0.000
  0.2  2.6 |        6.64630        6.64630        6.64630     0.000     0.000 |     0.000     0.000     0.000     0.000     0.000 |     0.302     0.302     0.302     0.000     0.000
  0.2  3.1 |        8.65292        8.65292        8.65292     0.000     0.000 |     0.000     0.000     0.000     0.000     0.000 |     0.253     0.253     0.253     0.000     0.000
  0.2  3.6 |       10.82863       10.82863       10.82863     0.000     0.000 |     0.000     0.000     0.000     0.000     0.000 |     0.218     0.218     0.218     0.000     0.000
  0.2  4.1 |            inf            inf            inf       nan       nan |     0.000     0.000     0.000     0.000     0.000 |     0.192     0.192     0.192     0.000     0.000
  0.2  4.6 |            inf            inf            inf       nan       nan |     0.000     0.000     0.000     0.000     0.000 |     0.171     0.171     0.171     0.000     0.000
  0.4  0.1 |        0.07090        0.07090        0.07090     0.000     0.000 |     0.000     0.000     0.000     0.000     0.000 |     7.854     7.854     7.854     0.000     0.000
  0.4  0.6 |        1.04199        1.04199        1.04199     0.000     0.000 |     0.000     0.000     0.000     0.000     0.000 |     1.309     1.309     1.309     0.000     0.000
  0.4  1.1 |        2.58657        2.58657        2.58657     0.000     0.000 |     0.000     0.000     0.000     0.000     0.000 |     0.714     0.714     0.714     0.000     0.000
  0.4  1.6 |        4.53748        4.53748        4.53748     0.000     0.000 |     0.000     0.000     0.000     0.000     0.000 |     0.491     0.491     0.491     0.000     0.000
  0.4  2.1 |            inf            inf            inf       nan       nan |     0.000     0.000     0.000     0.000     0.000 |     0.374     0.374     0.374     0.000     0.000
  0.4  2.6 |            inf            inf            inf       nan       nan |     0.000     0.000     0.000     0.000     0.000 |     0.302     0.302     0.302     0.000     0.000
  0.4  3.1 |            inf            inf            inf       nan       nan |     0.000     0.000     0.000     0.000     0.000 |     0.253     0.253     0.253     0.000     0.000
  0.4  3.6 |            inf            inf            inf       nan       nan |     0.000     0.000     0.000     0.000     0.000 |     0.218     0.218     0.218     0.000     0.000
  0.4  4.1 |            inf            inf            inf       nan       nan |     0.000     0.000     0.000     0.000     0.000 |     0.192     0.192     0.192     0.000     0.000
  0.4  4.6 |            inf            inf            inf       nan       nan |     0.000     0.000     0.000     0.000     0.000 |     0.171     0.171     0.171     0.000     0.000
  0.6  0.1 |        0.08683        0.08683        0.08683     0.000     0.000 |     0.000     0.000     0.000     0.000     0.000 |     7.854     7.854     7.854     0.000     0.000
  0.6  0.6 |        1.27617        1.27617        1.27617     0.000     0.000 |     0.000     0.000     0.000     0.000     0.000 |     1.309     1.309     1.309     0.000     0.000
  0.6  1.1 |        3.16789        3.16789        3.16789     0.000     0.000 |     0.000     0.000     0.000     0.000     0.000 |     0.714     0.714     0.714     0.000     0.000
  0.6  1.6 |            inf            inf            inf       nan       nan |     0.000     0.000     0.000     0.000     0.000 |     0.491     0.491     0.491     0.000     0.000
  0.6  2.1 |            inf            inf            inf       nan       nan |     0.000     0.000     0.000     0.000     0.000 |     0.374     0.374     0.374     0.000     0.000
  0.6  2.6 |            inf            inf            inf       nan       nan |     0.000     0.000     0.000     0.000     0.000 |     0.302     0.302     0.302     0.000     0.000
  0.6  3.1 |            inf            inf            inf       nan       nan |     0.000     0.000     0.000     0.000     0.000 |     0.253     0.253     0.253     0.000     0.000
  0.6  3.6 |            inf            inf            inf       nan       nan |     0.000     0.000     0.000     0.000     0.000 |     0.218     0.218     0.218     0.000     0.000
  0.6  4.1 |            inf            inf            inf       nan       nan |     0.000     0.000     0.000     0.000     0.000 |     0.192     0.192     0.192     0.000     0.000
  0.6  4.6 |            inf            inf            inf       nan       nan |     0.000     0.000     0.000     0.000     0.000 |     0.171     0.171     0.171     0.000     0.000
  0.8  0.1 |        0.10027        0.10027        0.10027     0.000     0.000 |     0.000     0.000     0.000     0.000     0.000 |     7.854     7.854     7.854     0.000     0.000
  0.8  0.6 |        1.47359        1.47359        1.47359     0.000     0.000 |     0.000     0.000     0.000     0.000     0.000 |     1.309     1.309     1.309     0.000     0.000
  0.8  1.1 |            inf            inf            inf       nan       nan |     0.000     0.000     0.000     0.000     0.000 |     0.714     0.714     0.714     0.000     0.000
  0.8  1.6 |            inf            inf            inf       nan       nan |     0.000     0.000     0.000     0.000     0.000 |     0.491     0.491     0.491     0.000     0.000
  0.8  2.1 |            inf            inf            inf       nan       nan |     0.000     0.000     0.000     0.000     0.000 |     0.374     0.374     0.374     0.000     0.000
  0.8  2.6 |            inf            inf            inf       nan       nan |     0.000     0.000     0.000     0.000     0.000 |     0.302     0.302     0.302     0.000     0.000
